,page,pageviews_x,pageviews_y,category,delta,pagecount,tmp
652655,Lance_Fuller,17,94.0,1928_births,-0.8191489361702128,2184,1
709548,Luther_Kelly,10,27.0,1928_deaths,-0.6296296296296297,430,1
1313681,William_Anthony_Furness___2nd_Viscount_Furness,9,106.0,1929_births,-0.9150943396226415,2161,1
399533,Henry_Lascelles___5th_Earl_of_Harewood,33,214.0,1929_deaths,-0.8457943925233645,490,1
469475,James_Hubbard_(murderer),8,36.0,1930_births,-0.7777777777777778,2323,1
1226196,Thure_de_Thulstrup,6,20.0,1930_deaths,-0.7,490,1
933675,Petey_Greene,44,776.0,1931_births,-0.9432989690721649,2167,1
1241973,Tom_Roberts,8,36.0,1931_deaths,-0.7777777777777778,464,1
34400,Carey_Blyton,12,77.0,1932_births,-0.8441558441558441,2142,1
225942,Edward_Treacher_Collins,10,21.0,1932_deaths,-0.5238095238095238,494,1
215722,Eddie_Adams_(photographer),34,513.0,1933_births,-0.9337231968810916,2123,1
648578,L._A._Ring,12,25.0,1933_deaths,-0.52,500,1
1288385,Vivian_Liberto,35,153.0,1934_births,-0.7712418300653595,2233,1
65127,Chato_(Apache),13,31.0,1934_deaths,-0.5806451612903225,551,1
353246,Gordon_Mills,14,102.0,1935_births,-0.8627450980392157,2323,1
1320662,William_Kennedy_Dickson,10,29.0,1935_deaths,-0.6551724137931034,518,1
298681,Freddie_Garrity,61,471.0,1936_births,-0.8704883227176221,2327,1
354633,Grace_Bedell,41,2662.0,1936_deaths,-0.9845980465815176,590,1
229549,El_Fary,10,61.0,1937_births,-0.8360655737704918,2409,1
580569,Joseph_Taylor_Robinson,14,33.0,1937_deaths,-0.5757575757575757,622,1
1296141,Walter_Heiligenberg,6,25.0,1938_births,-0.76,2647,1
272489,Feodor_Chaliapin,38,249.0,1938_deaths,-0.8473895582329317,625,1
105483,Count_Dante,42,362.0,1939_births,-0.8839779005524862,2712,1
846587,Nathaniel_Schmidt,7,18.0,1939_deaths,-0.6111111111111112,562,1
877894,Olga_Georges-Picot,18,159.0,1940_births,-0.8867924528301887,2836,1
632429,Kid_McCoy,10,98.0,1940_deaths,-0.8979591836734694,628,1
440488,Irina_Petrescu,9,130.0,1941_births,-0.9307692307692308,2910,1
377043,Hans_Ludendorff,8,19.0,1941_deaths,-0.5789473684210527,691,1
773512,Max_Mermelstein,108,713.0,1942_births,-0.8485273492286115,3135,1
519099,Jimmy_Johnson_(quarterback),6,25.0,1942_deaths,-0.76,759,1
1265652,USS_Nelson_(DD-623),7,54.0,1942_ships,-0.8703703703703703,420,1
954113,Prunella_Ransome,8,440.0,1943_births,-0.9818181818181818,3337,1
366689,Gustav_Vigeland,23,70.0,1943_deaths,-0.6714285714285715,809,1
370251,HMS_Glory_(R62),6,29.0,1943_ships,-0.7931034482758621,587,1
928052,Peter_Harvey,17,2890.0,1944_births,-0.9941176470588236,3318,1
734166,Margery_Williams,24,247.0,1944_deaths,-0.902834008097166,1061,1
1265161,USS_Flint_(CL-97),7,30.0,1944_ships,-0.7666666666666666,449,1
83591,Christopher_Wilder,251,815.0,1945_births,-0.6920245398773006,3330,1
302834,Friedrich_Fromm,162,920.0,1945_deaths,-0.8239130434782609,1056,1
233231,Elisabeth_Sladen,386,5316.0,1946_births,-0.9273890142964635,3712,1
840201,Nanalal_Dalpatram_Kavi,6,16.0,1946_deaths,-0.625,634,1
428976,Ian_Rilen,6,59.0,1947_births,-0.8983050847457628,3980,1
60539,Charles_Sumner_Woolworth,14,130.0,1947_deaths,-0.8923076923076922,645,1
1247164,Tony_Azito,15,92.0,1948_births,-0.8369565217391304,3826,1
886014,Oscar_Slater,6,17.0,1948_deaths,-0.6470588235294117,658,1
1245614,Tommy_Seebach,13,121.0,1949_births,-0.8925619834710744,3632,1
274705,Fiddlin'_John_Carson,20,43.0,1949_deaths,-0.5348837209302326,591,1
504039,Jeremy_Silberston,45,862.0,1950_births,-0.9477958236658933,3674,1
221796,Edward_Albert_Gait,8,17.0,1950_deaths,-0.5294117647058824,632,1
1211572,The_Virgin_Queen_(1955_film),6,23.0,1950s_drama_films,-0.7391304347826086,559,1
81978,Christopher_Gillis,6,18.0,1951_births,-0.6666666666666667,3653,1
1064206,Samuel_D._Riddle,11,27.0,1951_deaths,-0.5925925925925926,603,1
313601,Gary_Holton,129,760.0,1952_births,-0.8302631578947368,3813,1
952337,Princess_Louise_Sophie_of_Schleswig-Holstein-Sonderburg-Augustenburg,8,17.0,1952_deaths,-0.5294117647058824,608,1
727466,Marc_Hunter,71,743.0,1953_births,-0.9044414535666218,3710,1
952333,Princess_Louise_Charlotte_of_Saxe-Altenburg,8,25.0,1953_deaths,-0.6799999999999999,648,1
903148,Patrick_Kelly_(fashion_designer),18,189.0,1954_births,-0.9047619047619048,3763,1
393468,Helen_Vincent___Viscountess_D'Abernon,18,41.0,1954_deaths,-0.5609756097560976,591,1
800486,Mick_Cocks,11,48.0,1955_births,-0.7708333333333334,3824,1
995641,Richard_Redmayne,13,28.0,1955_deaths,-0.5357142857142857,595,1
893619,Pam_Reynolds_case,32,270.0,1956_births,-0.8814814814814815,3833,1
111818,Curnonsky,7,18.0,1956_deaths,-0.6111111111111112,690,1
169674,Dennis_Brown,172,896.0,1957_births,-0.8080357142857143,3765,1
958745,R._Thomas_Smith,7,31.0,1957_deaths,-0.7741935483870968,709,1
687123,Lisa_Michelson,14,187.0,1958_births,-0.9251336898395722,3788,1
728535,Marcel_Cachin,6,13.0,1958_deaths,-0.5384615384615384,703,1
1006162,Robbie_France,27,281.0,1959_births,-0.9039145907473309,3749,1
535058,John_B._Salling,6,12.0,1959_deaths,-0.5,666,1
248487,Eric_Nance,19,158.0,1960_births,-0.879746835443038,3931,1
1333610,Wu_Lien-teh,149,396.0,1960_deaths,-0.6237373737373737,725,1
1188418,The_Devil_at_4_O'Clock,17,303.0,1960s_drama_films,-0.9438943894389439,589,1
187140,Dobie_Gillis_Williams,13,49.0,1961_births,-0.7346938775510203,3811,1
395677,Henri_Breuil,9,20.0,1961_deaths,-0.55,715,1
792047,Michael_Ljunggren,6,19.0,1962_births,-0.6842105263157895,3930,1
251203,Erik_Scavenius,7,46.0,1962_deaths,-0.8478260869565217,750,1
617020,Keli_McGregor,12,61.0,1963_births,-0.8032786885245902,3909,1
303155,Friedrich_Wilhelm_von_Lindeiner-Wildau,38,120.0,1963_deaths,-0.6833333333333333,835,1
511531,Jill_Phipps,43,918.0,1964_births,-0.9531590413943355,4020,1
51199,Chana_Schneerson,7,27.0,1964_deaths,-0.7407407407407407,763,1
